Sesión,Distancia,Iluminación,Movimiento,Oclusión,Frames,Duración(ms),FPSMedio,Landmark,JitterMedio(‰),Visibilidad(%),Continuidad,TrackingLost(%)
1,0.80,fuerte,lento,ninguna,2286,65633,35.5,L_SHOULDER,9.45,99.7,526,0.0
1,0.80,fuerte,lento,ninguna,2286,65633,35.5,R_SHOULDER,9.62,99.9,526,0.0
1,0.80,fuerte,lento,ninguna,2286,65633,35.5,L_ELBOW,17.98,71.9,525,0.0
1,0.80,fuerte,lento,ninguna,2286,65633,35.5,R_ELBOW,19.08,83.2,526,0.0
1,0.80,fuerte,lento,ninguna,2286,65633,35.5,L_WRIST,37.13,67.7,523,0.0
1,0.80,fuerte,lento,ninguna,2286,65633,35.5,R_WRIST,28.98,80.7,526,0.0
2,1.80,fuerte,lento,ninguna,2447,74135,33.7,L_SHOULDER,7.64,99.6,1001,0.0
2,1.80,fuerte,lento,ninguna,2447,74135,33.7,R_SHOULDER,7.36,99.7,1001,0.0
2,1.80,fuerte,lento,ninguna,2447,74135,33.7,L_ELBOW,12.18,87.0,726,0.0
2,1.80,fuerte,lento,ninguna,2447,74135,33.7,R_ELBOW,10.94,94.3,1001,0.0
2,1.80,fuerte,lento,ninguna,2447,74135,33.7,L_WRIST,17.15,87.9,1001,0.0
2,1.80,fuerte,lento,ninguna,2447,74135,33.7,R_WRIST,19.88,92.6,1001,0.0
3,2.80,fuerte,lento,ninguna,2447,73305,34.3,L_SHOULDER,4.13,99.6,972,0.0
3,2.80,fuerte,lento,ninguna,2447,73305,34.3,R_SHOULDER,3.32,99.8,972,0.0
3,2.80,fuerte,lento,ninguna,2447,73305,34.3,L_ELBOW,8.25,90.3,972,0.0
3,2.80,fuerte,lento,ninguna,2447,73305,34.3,R_ELBOW,5.39,96.0,972,0.0
3,2.80,fuerte,lento,ninguna,2447,73305,34.3,L_WRIST,9.60,89.2,972,0.0
3,2.80,fuerte,lento,ninguna,2447,73305,34.3,R_WRIST,7.46,93.8,972,0.0
4,3.80,fuerte,lento,ninguna,2449,66433,37.2,L_SHOULDER,2.25,99.9,1220,0.0
4,3.80,fuerte,lento,ninguna,2449,66433,37.2,R_SHOULDER,2.18,99.8,1220,0.0
4,3.80,fuerte,lento,ninguna,2449,66433,37.2,L_ELBOW,4.13,93.9,1220,0.0
4,3.80,fuerte,lento,ninguna,2449,66433,37.2,R_ELBOW,4.14,92.6,1220,0.0
4,3.80,fuerte,lento,ninguna,2449,66433,37.2,L_WRIST,6.66,92.2,1220,0.0
4,3.80,fuerte,lento,ninguna,2449,66433,37.2,R_WRIST,6.31,91.3,1220,0.0
5,0.80,normal,lento,ninguna,1546,45297,34.6,L_SHOULDER,3.49,99.8,1114,0.0
5,0.80,normal,lento,ninguna,1546,45297,34.6,R_SHOULDER,2.88,100.0,1114,0.0
5,0.80,normal,lento,ninguna,1546,45297,34.6,L_ELBOW,9.78,72.6,1114,0.0
5,0.80,normal,lento,ninguna,1546,45297,34.6,R_ELBOW,8.14,94.0,1114,0.0
5,0.80,normal,lento,ninguna,1546,45297,34.6,L_WRIST,19.41,70.2,1025,0.0
5,0.80,normal,lento,ninguna,1546,45297,34.6,R_WRIST,13.34,85.5,1114,0.0
6,1.80,normal,lento,ninguna,1809,58142,31.2,L_SHOULDER,1.23,99.9,1426,0.0
6,1.80,normal,lento,ninguna,1809,58142,31.2,R_SHOULDER,1.10,99.9,1426,0.0
6,1.80,normal,lento,ninguna,1809,58142,31.2,L_ELBOW,2.78,95.8,1426,0.0
6,1.80,normal,lento,ninguna,1809,58142,31.2,R_ELBOW,3.73,99.1,1426,0.0
6,1.80,normal,lento,ninguna,1809,58142,31.2,L_WRIST,4.39,95.8,1426,0.0
6,1.80,normal,lento,ninguna,1809,58142,31.2,R_WRIST,5.51,98.1,1426,0.0
7,2.80,normal,lento,ninguna,2004,64388,31.1,L_SHOULDER,1.40,99.9,1220,0.0
7,2.80,normal,lento,ninguna,2004,64388,31.1,R_SHOULDER,1.39,100.0,1220,0.0
7,2.80,normal,lento,ninguna,2004,64388,31.1,L_ELBOW,3.36,91.5,1220,0.0
7,2.80,normal,lento,ninguna,2004,64388,31.1,R_ELBOW,2.87,99.6,1220,0.0
7,2.80,normal,lento,ninguna,2004,64388,31.1,L_WRIST,4.71,91.8,1220,0.0
7,2.80,normal,lento,ninguna,2004,64388,31.1,R_WRIST,4.36,99.0,1220,0.0
